gid,val,school,parking,home,mercantile,social,public,subway,val_2,val_3,bus_stops,drt,area,yn,total_tota,total_bus,frequency,score
다바686679,45.0000000000000000000000000000000,321.241637235890380,241.217745855867832,604.116904310306381,259.613015726128140,3123.926036945228134,377.540274898470216,220.843563873031940,14.0000000000000017763568394002505,0.0000000000000000000000000000000,29.148027695628986,4704.376724856578221,4789.318,1,6342,425,17,0.596414337313457
다바665666,594.0000000000000000000000000000000,322.914636274880252,232.938503304839770,352.557597177510331,352.172940792094721,2570.725464477898640,505.435724019434417,523.450967258458945,143.0000000000000000000000000000000,42.0000000000000000000000000000000,169.623306621948075,5414.758422130270446,4192.510,0,0,0,0,0.571387308348939
다바736751,0.0000000000000000000000000000000,280.120111913789458,1488.745609120993549,194.119413229408906,835.303582007141813,3029.401766112637233,1093.614242623172913,5410.633192440755920,0.0000000000000000000000000000000,0.0000000000000000000000000000000,213.740599189075425,4133.227731635138298,5550.018,0,0,0,0,0.587197823809420
다바689651,300.0000000000000000000000000000000,299.496114305434844,216.681635809298541,286.046806019324379,175.146367011767296,1144.760595487512774,174.348293738865067,2402.714798253093250,17.0000000000000000000000000000000,61.0000000000000000000000000000000,70.695039833078013,7379.536022705346113,5983.644,1,5769,237,63,0.676315028748204
다바679770,0.0000000000000000000000000000000,1106.651652324731231,726.362168596635911,333.598442135130767,2685.634020948952184,1205.463351101263470,2738.315221226409449,2272.430337099895496,0.0000000000000000000000000000000,0.0000000000000000000000000000000,326.470067535517273,1122.008138080882873,2508.269,0,0,0,98,0.582555743749028
다바685790,0.0000000000000000000000000000000,1295.975190380790536,1525.713909525179133,491.004048283240081,1767.334656540401511,1676.400148676807476,4765.697069604225362,1918.283321037733458,0.0000000000000000000000000000000,0.0000000000000000000000000000000,412.612428689921330,2583.928489758311571,7513.161,0,0,0,0,0.656642627434625
다바661657,167.0000000000000000000000000000000,297.965261208316747,481.914511581404213,180.880787111613557,181.497705448295989,2917.518964707121540,406.779542621194537,498.931089161206444,57.0000000000000000000000000000000,0.0000000000000000000000000000000,111.685802735431878,6315.183175874809422,4455.615,0,6019,109,39,0.601814595628617
다바689656,13.0000000000000000000000000000000,117.572954286153404,302.257951948731034,78.007081428817628,562.393356700679192,1376.749604836982371,350.209881496785613,2016.243057029738566,0.0000000000000000000000000000000,0.0000000000000000000000000000000,53.280131431252713,6913.464569986327660,3517.787,1,6365,351,31,0.566862495150452
다바642664,568.0000000000000000000000000000000,170.533508307972994,557.169192451161507,856.650211138924192,184.327632103084426,1669.270862389592821,120.794442288334139,1980.257558114505173,26.0000000000000000000000000000000,105.0000000000000000000000000000000,125.200794712944969,5941.707169989647809,3435.927,0,0,0,38,0.576970981964574
다바652714,0.0000000000000000000000000000000,540.926692289306516,384.304682035049893,516.324559880862580,2659.702840688039942,3439.172540464136546,48.946114084768119,3528.733390956278981,0.0000000000000000000000000000000,0.0000000000000000000000000000000,132.892225019826014,1014.699762167622566,5813.938,0,0,0,40,0.635035180821285
